abbreviations,officialnames,descriptions
CSOL,IBM Global Services Japan Collaboration Solutions and Services Company,過去存在した日本アイ・ビー・エム100％出資子会社。日本アイ・ビー・エム共同ソリューション・サービス株式会社。2022年7月1日にIJDSと合併。
CT,Customer Transformation,"BTSのサービスライン。お客様のデジタルトランスフォーメーションを推進するため、お客様のCMO, CSO, CDOが考える課題を解決する。"
DTT,Data Technology Transformation,BTSのサービスライン。お客様のデジタルトランスフォーメーションを推進するため、お客様の課題をデータおよびAIの観点で解決する。
DASH,DE / Fellow Act to create Sustained Higher value for clients,日本IBMの全Fellow（グローバルで最高峰の技術的エグゼクティブ）およびDE（Distinguished Engineer 、技術理事。Fellowに次ぐ技術的職位)で構成されるコミュニティ。
DIST,Distribution,流通プロセスにおいて業務改革を行う部署。事業部レベルでIND&DIST（製造・流通セクター）として登場することも多い。
IDC,Innovation delivery Center,イノベーション開発センター事業部。業界をまたがって培ったアプリケーション開発技術とデジタルテクノロジーを活用し、既存システムの高度化とデジタル変革を目指す。
ES,Enterprise Strategy,ITU内のPracticeの1つ。要するに「戦略コンサルティング」。飛躍的な業績向上に向け、トップレベルの課題解決を行える施策を提案し、戦略を立てて実行へ移す。
FSCT,Finance & Supply Chain Transformation,"BTSのサービスライン。お客様のデジタルトランスフォーメーションを推進するため、お客様のCFO, COO, CSCO, CIOが考える課題を解決する。"
GAC,Global Associates Community,グローバルなIBM Cosultingアソシエイトコミュニティに関与することを使命とする、IBM Consultingアソシエイトのグループ。
GBS,Global Business Services,現IBM Consulting。BTSとHCSからなる組織。
-,Global Sales,過去の営業部隊名。現Industry Technology Sales。デジタルにフォーカスされた製品の販売を行う。
GTC,Global Technical Council,技術評議会。BTSの最高の技術的才能を世界中から集めて、現在の技術トピックに関する知識と専門知識を共有することを目指すコミュニティ。
HCM,Hybrid Cloud Management,"HCSのサービスライン。お客様のデジタルトランスフォーメーションを推進するため、お客様のCIO, CTOの考える課題を解決する。"
HCS,Hybrid Cloud Services,"IBM Consultingの２つのGrowth Platforms（組織）のうちの片方。あるいは、IBM Consulting社員全員が2つのうちのどちらかをもつPractice（専門領域）の片方。もう片方はBTS。「デジタル・テクノロジー基盤」を扱い、オープン・ハイブリッド・クラウド環境におけるEnd to Endのサービスを提供する。サービスライン（HCT, HCM）で構成。"
HCT,Hybrid Cloud Transformation,HCSのサービスライン。お客様のデジタルトランスフォーメーションを推進するため、お客様の課題解決をHybrid Multi Cloud環境をフルライフサイクルにてサポートする。
-,IBM Consulting,IBMの中核組織。コンサルタント、データサイエンティスト、ITスペシャリスト、その他さまざまな職種が協業し、お客様の課題解決を行う。
-,IBM Financing Japan,"Pricing, Credit, Salesなど、金融業界向けのソリューションを提供している部署。"
IGSCH,IBM Global Services Japan Chugoku Solutions Company,過去存在した日本アイ・ビー・エム100％出資子会社。日本アイ・ビー・エム中国ソリューション株式会社。2022年7月1日にIJDSと合併。
IGF,IBM Golbal Financing,"過去の事業部。現IBM Financing Japan。IBMのHW, SWおよびサービスに対するリース・ファイナンシングを全世界規模でお客様に提供。"
IJDS,IBM Japan Digital Services Company,日本アイ・ビー・エム100％出資子会社のシステムインテグレーター。2020年7月1日、ISC-J・ISOL・IBITが合併し誕生、2022年にはCSOLやIGSCHとも合併。
TSOL,IBM Japan Technical Solutions Company,過去存在した日本アイ・ビー・エム100％出資子会社。日本アイ・ビー・エム テクニカル・ソリューション株式会社。2023年3月1日に日本アイ・ビー・エムと合併。
ITLMC,IBM Technical Leadership Master Course,IBMのテクニカルコミュニティー。部署やプロフェッションという枠を超えて構成された活動メンバーが、様々なテーマでワーキンググループ（WG）の活動を行う活動組織。
IND,Industry,製造プロセスにおいて業務改革を行う部署。インドと読む。事業部レベルでIND&DIST（製造・流通セクター）として登場することも多い。
-,Industry Technology Sales,製造業界に向けた製品販売にフォーカスしている営業組織。
ITU,Industry Transformation Unit,BTSのイノベーションユニット。お客様のデジタルトランスフォーメーションを推進するため、Industry Enterprise戦略を推進する。
ISV,Independent Software Vendor,独立系ソフトウェアベンダー。
ISV Services,ISV Services,ISV事業部。国内外の他社製ソフトウェアを用いたソリューションで、お客様のデジタル変革を加速させることを目的とする。
iX,Interactive Experience,デザイン主導で、戦略・デザイン・テクノロジーそれぞれのエキスパートが協力し、共同クリエーターであるIBM Garage?のサポートも含め、企業のデジタル変革を支援する。
IBM,International Business Machines Corporation,IBMの正式名称。
CTL,Client Technical Leadership,技術の専門家であり、お客様、IBM 販売チーム、および IBM ビジネス・パートナーを対象としたアドバイザー。
JTC,Japan Technical Council,テクノロジーを武器にしたい若手IBMerが、部門を超えて知識とスキルを習得し、交流し、社内外で若手として発信するコミュニティ。2001年発足。
JWC,Japan Women's Council,女性がキャリアを継続していく上で直面するさまざまな課題を検討していくための諮問委員会。1998年発足。昨今は社内のD&I（Diversity & Inclusion）の拡大に力を入れている。
L&K,Learning & Knowledge,研修から資格取得まで、IBMerの学びを担当する組織。通称エルケー。
MIDS,MI Digital Service,日本IBMとみずほFG出資のシステム運用会社。金融において、＜みずほ＞の大規模システムの安定運用ノウハウと、日本アイ・ビー・エムが持つ最新テクノロジーを融合させ、安定的かつ効率化・高度化された運用サービスの提供を目指す。
OIO,Open Infrastracture Offering,比較的大規模なお客様への、マルチブランド長期包括契約のオファリングを提供する事業部。
P-TECH,Pathways in Technology Early. College High School,教育行政・学校・企業がパートナーシップを結び、協働してIT人材育成に取り組む、高等学校と二年制カレッジ(短大/専門学校など)を統合した5年の公教育学校モデル。
PM&T,Process Methods & Tools,グローバルなビジネスを強化するため、IBMの標準・基準となるメソッドおよびツールを提供する。
PFG,Promontory Financial Group,2022年7月をもって日本から撤退した、IBMの完全子会社。金融サービス業界やグローバルにビジネスを展開する企業に対し、経営戦略の遂行、リスク管理の高度化、そしてコンプライアンスの強化をアドバイスするコンサルティング会社。
R&D,Research&Development,IBMにおける研究開発を行う組織。
TT,Talent Transformation,BTSのサービスライン。お客様のデジタルトランスフォーメーションを推進するため、CHROをはじめ人事関係者が考える課題を解決する。
TEC-J,Technical Experts Community of Japan,部門・専門横断でテクニカル・リーダーシップを発揮し日本IBMに貢献するためのコミュニティ。1999年2月に設立され、2001年にIBMのGEOを超えた技術コミュニティ Academy of Technology（AoT）の支部として認定された。
-,Technology,現Technology Sales。Technology Salesの項目を参照。
-,Technology Sales,IBM製品やソリューションの販売を行う組織。
TLS,Technology Lifecycle Services,お客様のハイブリッドクラウドやデータセンターの計画立案、導入、運用、最適化、更改の支援などを担う組織。
TSS,Technology Support Service,現TLS。TLSの項目を参照。
C&N,the Contracts & Negotiations,販売チームの一員として主に法的観点からお客様との契約・交渉を推進するためのグローバルの専門家チーム。日本では、関連情報が法務ポータルで提供される。
WG,Working Group,組織名に使われる。ビジネスユニットやプロフェッションという枠を超えて構成された活動メンバーが、様々なテーマのもとに集まる。
AM,Associate Manager,"現サブマネ（サブマネージャー）。アソマネと略された。Associates Line（Associatesの所属先）において、副所属長のような役目を果たす。"
CR,Customer Representative,顧客担当者。顧客との継続的な関係を保ち、様々な顧客情報を得る役目を担う。
-,HCL notes,名刺の申請、備品の申請などを行う旧社内ツール。Hindustan Computers Limited（HCL）という会社のグループウェア用ミドルウェア。
DS,Data Scientist,データ分析に基づくインサイトを顧客に提供する職種。
DE,Distinguished Engineer,"技術理事。IBM Fellowに続く最高峰の技術系職位で、担当技術分野において現場で活躍する第一人者。正式な全社レビュー・プロセスを通じ、他の技術系社員に対する模範的なリーダーシップに加え、世界的に重大な影響を及ぼす特に優れた技術的功績を評価され選出される。2023年4月現在、日本IBMには19名のDEが在籍。"
GI,General Instructor,新卒社員のインストラクター的存在。年次やバンドは関係なく、様々な先輩社員がGIとして新卒社員をサポートするために担当する。
GM,General Manager,現場での活動にとどまらず、全社的な経営の戦略などを取るマネージャー職。
ITS,IT Specialist,他社で言うエンジニアに当たる職種。開発だけにとどまらず、プロジェクトマネジメントなども行う点でIBM独自の職種ともいえる。
PE,Project Executive,プロジェクトのリーダーとして、プロジェクトの最終目標の決定や計画、資金調達などを行う。
PJL,Project Leader,プロジェクトにおいて、メンバーを束ね、PMとの仲介に入る役職。
PMO,Project Management Office,PMの補佐的な役割を担い個別プロジェクトの進捗を管理する役割。
PM,Project Manager,プロジェクトマネージャー。プロジェクトの計画・遂行に責任を負う管理者。またそのような職位や職能。
PO,Project Owner,プロジェクトオーナー・最終責任者。プロジェクトの発注者。プロジェクト組織に組み込まれ、プロジェクト推進の一翼を担う。
SS,Solution/Sales Specialist,営業・営業企画職。デジタルツールを活用して、新たなお客様とのリレーション構築、案件発掘を行う職種。
TS,Technical Specialist,Db2、他社プロダクト、Data＆AI領域の技術的専門家。
WRR,Weekly Report Reviewer,WAP研修期間中に作成するWeekly Reportのレビューを担当する先輩社員。
CSC,HZ Solution Center予約,箱崎ソリューション・センターの会議室予約に用いていた、旧システム。
-,AskHR,人事関連サポートシステム。人事のプログラムや制度のガイドを確認したい、個別に問い合わせをしたい場合に。
-,Associates Portal,Associates向けのポータルサイト。リンクはFY23、4月入社向け。毎年変わるので、注意！
-,Buy@IBM,日本IBMの購買システム（名刺注文など）。2023年、RFQ Web、REQCAT、GLORYから1つに統合したそう。
BID申請,Business Improvement District 申請,IBMの資金調達制度。
-,Buy@IBM,社内購買システム。新入社員の用途はほぼ名刺の購入のみ。
CAS,-,セキュリティカード（入館証）。
-,Checkpoint,IBMで用いられる人事評価システム。
-,CV Builder,社内向けのレジュメ作成システム。案件を探す際や要員計画時のインプットとなる。
-,GrandPa,社内slackで運用されていた知恵袋Webアプリ。
-,QATT,コロナ禍での集合研修に使われていたと思われる、QRコード出席ツール。
H&SMS,Health & Safety Management System,従業員の健康と安全の促進と水準の向上に資することを目的とする安全衛生管理の仕組み。
TWPS,TRIRIGA WPS,各社の会議室予約ツール。2023年時点で、Outlook内のRoomSearchから直接予約することも可能になっている。
5 in 5,5 in 5,IBM基礎研究所が発表する、テクノロジーが5年以内に私たちの暮らしを変える5つの方法。今後5年間に起こる5つのイノベーション。
-,IBM Employee Concerns,社員間で解決できない会社に関連する懸念について、窓口を通してマネージメントの注意を喚起することができる。
-,IT Transformation Portal,PCやOutlook、Print@IBM、PCにインストール可能なソフトウェアなどのツールについての情報（日本語検索対応）が記載されている。
LRT,Learning Request Tool,（有料・無料を含む）外部研修の受講および検定の受験の承認を提出するサイト。
-,Lighthouse,プロジェクトナレッジ、研修資料などを共有できるプラットフォーム。
MySA,My Staffing Adviser,各自がプロジェクトや休暇の予定を登録し、プロジェクトベースの人員配置を促進するコグニティブアプリケーション。
PM&T (PMT),Process Methods & Tools (PMT Portal),プロセス、メソッド、ツールに関する最新ニュースが配信されている社内ポータルサイト。
PMP,Professional Marketplace,過去の稼働予測管理ツール。現MySA。2023年でもMySAのことを指して使われることがある。
-,Time@IBM,稼働管理ツール。社内および社外のサービス・プロジェクトで作業した時間を送信するためのアプリケーション。稼働管理にはFLCとILCがある。
-,Travel@IBM,Concurに繋がる経費精算ツール。
-,w3,"検索窓からフリーワードで幅広く検索できる社内専用検索ツール。「だぶさん」と呼ばれることも多い。"
-,Workday,勤怠管理システム。休暇の申請にも用いる。
YC,Your Career at IBM,2020年に導入された社員のキャリア開発をマネージャー、社員の双方の視点で支援する学習プラットフォーム。
YG,Your Guides,専門知識を共有したい IBM 社員と、知識を広げたい IBM 社員をつなぐための、ソーシャルで協力的なプラットフォーム。
YL,Your Learning,2016年に導入されたIBMの学習プラットフォーム。e-learningの受講窓口になるほか、これまでの学習経歴も確認できる。
ACEモデル,Appreciation/Coaching/Evaluationモデル,現checkpointにあたる旧社内ツール。リレーションシップを構築し、学習・成長・変化を助け、状況を明確にして決断の参考となる情報を提供すること。
BCG,Business Conduct Guidelines,IBMに対する社会の信頼と期待に応えるために社員一人ひとりが遵守すべき行動基準。
CRA,Client Relationship Agreement,IBMクライアント・リレーションシップ契約書。お客様の声を受け、これまでより簡素化した契約書となった。
QPIT,Quality and Productivity Improvement Toolkit,IBM IPアセット（IBM社内資産）の一つ。アプリケーション開発工程におけるワーク・プロダクト・テンプレート/サンプル/記述ガイドや様々なツール。
CTEBA,"Compliance with Transportation, Entertainment and Business Amenities",政府の職員、政府機関やGOE、国により民間企業の役職員に対し、一定の価値基準を超えるアメニティを提供する前に経る必要がある承認プロセス。
DTP,DASH Technology Perspective,多岐にわたるITの技術エリアの最新動向、ビジョン、それを支えるテクノロジー、今後の課題について、DASHのメンバー（日本IBMの全FellowおよびDEという技術トップ）がまとめたもの。
FLC,Full Labor Claiming,労働稼働率に関する遵守規範。実態に即した労働時間および活動内容を、Time@IBMで全て申告する必要があることを指す。
GTAM,Guide and Toolkit for Application Modeling,IBM IPアセット（IBM社内資産）の一つ。テストの作業効率化と品質向上を図る。要件（ユースケース）からアプリケーションの分析・設計を行う作業の標準化、品質向上、工数削減をサポートするためのガイドと支援ツール。
IWF,Intelligent Workflow,要はビジネスプロセスの自動化。AIやテクノロジーを活用し、変化に対して柔軟な業務対応を効率的・自動的に遂行することを可能とする、Cognitive Enterprise実現までのアプローチ。
JTLS,Japan Technical Leadership Session,IBMを牽引する人材となるための研修プログラム。
-,JTC Incubate Camp,若手技術系プロフェッショナルが抱える課題を組織横断的に議論し、その成果をエグゼクティブの方々に提言する場。
QMS,Quality Management System,"IBM Consultingのプロジェクトや組織を対象とし、ISOやCMMI, ITILなどの各種業界標準、および、CRMプロセスやWWPMMなどのIBM標準に準拠し、手続き、テンプレート、チェックリスト、ガイドライン等のアセットを提供する。"
C&A,Cognitive & Analytics,過去の部署名。CPT・CBDS内にあった。現BTS・DTT内のAI&A。AI&Aの項目を参照。
WACs,Web Application Components,"IBM IPアセット（IBM社内資産）の一つ。330社以上のお客様で採用されている。Javaアプリケーション開発で必要となる基盤機能のコンポーネントと、生産性向上のための開発支援ツールを提供するアプリケーション開発フレームワーク。"
WR,Weekly Report,"WAP期間中の週次報告書。読んでコメントをくださる1つ上の先輩をWRR（Weekly Report Reviewer）と呼ぶ。"
5W3H,"When, Where, Who, When, Where, How, How Many, How Much",フレームワークとして用いられる「When・Where・Who・When・Where・How・How Many・How Much」の8つの項目を示す言葉。
WAP,Wild-ducks Accelerated Program,新人研修プログラムのこと。IBMerの精神「Wild-duck」を持つ圧倒的な個人力開発＋チームワーク（duck”s”）でのさらなる価値創出を支える思考行動様式を獲得することを目的とする。
WM,Work Management,仕事を段取り良く進めるスキル。仕事の計画・管理。WAPで頻出。
CP4D,IBM Cloud Pak for Data,データ・ファブリック・アーキテクチャーで構築されたプラットフォームを使用して迅速に結果を予測することのできるクラウドプラットフォーム。 
Db2,IBM Db 2,IBMのリレーショナル型データベース管理システム。
CADS,IBM SPSS Collaboration and Deployment Services,予測分析の広範な展開と使用を可能にするソリューション。
ISSS,Integrated/ Integration Systme Support Service,統合システム・サポート・サービス。
MC,Maintenance Coordination,お客様選定のサービス会社の取次サービス。
MM,Maintenance Management,IBM選定のサービス会社による保守サービス。
MS,Maintenance Service,IBMによる修理サービス。
MVMS,Multi Vendor Maintenance Service,他社製機械保守サービス。
MPS,Multi-vendor Premium Software Care,クラウド、商用SW、コミュニティOSSの一元窓口を提供する。
RCL,Remote Code Load,遠隔保守サポートによるコード更新のサービス。
SPSS,Statistical Package for Social Science,IBMの統計解析ソフトウェア。
BLS,Support Extension Services,IBMソフトウェア製品のサポート・ライフサイクル上、通常のサポート期間が終了（EOS：End Of Support）した IBM Software製品に対して、Special BID申請による有償で提供されるバックレベル・プログラム支援サービス。
STSS,System Technology Support Service,システム技術支援サービス。
WAS,WebSphere Application Server,IBMのソフトウェア製品のブランド名。eビジネスの構築・運用・統合を行うミドルウェア・ソフトウェア群の総称。
AC,Actual Cost,実コスト。その時点までに開発したコストの実績値。
ACE,Appreciation Coaching Evaluation,コーチングのツール。
AIDMA,"Attention, Interest, Desire, Memory, Action",アイドマ（注意、関心、欲求、記憶、行動）。通称アイドマ。購買行動の各プロセスで自社の改善ポイントを明らかにするためのフレームワーク。
B/S,Balance Sheet,"貸借対照表。企業がどのようにお金を集め、それを何に使い、いくら残っているかを表している。ある時点の財政状態を示すので、企業の財務健全性を見ることができる。"
BATNA,Best Alternative to Negotiated Agreement,通称バトナ。交渉相手から提示されたオプション以外で、最も望ましい代替案。
BTO,Build to Order,受注生産方式・組立生産・受注加工生産。仕掛品まで製造しておき、顧客からの注?後に最終?程を実施する「部品在庫型」の生産方式。
BCG,Business Conduct Guidelines,ビジネス・コンダクト・ガイドライン。IBMでは、お客様をはじめ、IBMに対する社会の信頼と期待にお応えするため社員一人ひとりが遵守すべき行動基準を「ビジネス・コンダクト・ガイドライン」としてまとめている。
BPR,Business Process Reengineering,"業務の根本的革新。根本的な問いかけ(なぜそれは必要なのか?)によって、プロセスを抜本的に変えることで劇的な効果を?む?法。BPRの視点から企業を構成する要素は4つ、「ビジネス・プロセス」「職務と組織構造」「マネジメントと評価システム」「価値観と信念」"
CW,Case Work,ケースワーク。困難な課題、問題をもった対象者（クライアント）が主体的に生活できるように支援、援助していく個人や家族といった個別に対するソーシャルワーク。
C/S,Cash flow statement,キャッシュフロー計算書。企業が持つ現金「キャッシュ」に特化した第3の財務会計。現金の収入、支出を用途別に表にしたもの。
CDO,Chief Digital Officers,最高デジタル責任者。
CEO,Chief Executive Officer,最高経営責任者。
CFO,Chief Financial Officer,最高財務責任者。
CHRO,Chief Human Resource Officer,最高人事責任者。
CIO,Chief Information Officers,最高情報責任者。組織名として用いられる場合、ITサービスのライフサイクルをサポートし、IBM社員やビジネス・パートナーへの最善のITサービスの提供を通じて日本IBMのビジネスの成長や各種生産性の向上、社員の働き方改革に貢献するGIE (Global Integrated Enterprise) 部門を指す。
CISO,Chief Information Security Officer,最高情報セキュリティ責任者。
CLO,Chief Logistics Officer,最高ロジスティクス管理責任者。
CMO,Chief Marketing Officer,最高マーケティング責任者。
COO,Chief Operating Officer,最高執行責任者。
CSO,Chief Sales Officer,最高営業責任者。
CSCO,Chief Supply Chain Officer,最高サプライチェーン責任者。
CTO,Chief Technology Officer,最高技術責任者。
CVM,Client Value Management,顧客価値管理。PMにおけるメソッドのひとつ。顧客の「バリュージャーニー」におけるすべての側面を管理するためのアプローチ。
5Cs,"Client, Customer, Criteria, Constraints, Context",顧客、顧客の期待、基準、制約、業界環境。レコメンデーションを作成する際に、決定者は顧客の誰か、顧客の期待は何か、どのような基準で実行するか、どのような制約があるか、直面している問題は何かを考慮するフレームワーク。
CRA,Compelling Reason to Act,お客様がどうしても買わなければならない差し迫った理由。
CV,Cost Variance,コスト差異。
CV,Curriculum Vitae,"履歴書。CV WizardはIBM Global Services共通のレジュメ作成・登録ツール。こちらに入力されたプロジェクト経験・スキルなどの情報は、プロジェクトからのリクエストにより候補者を選抜する際に、アサインメントを決定する際の判断材料として使用される。"
CRM,Customer Relationship Management,顧客関係管理/顧客管理。顧客の属性や接触履歴を記録・管理し、それぞれの顧客に応じたきめ細かい対応を行うことで長期的な良好な関係を築き、顧客満足度の向上や取引関係の継続に繋げる取り組み。
3C,"Customer, Company, Competitor",顧客、自社、競合。市場の変化とそれに対する競合の動向、自社の現在地を踏まえて、自社の成功要因を理解するためのフレームワーク。
DC,Destribution Center,在庫型センター。在庫を保管しオーダーに応じて出荷するタイプの物流センター。
EV,Earned Value,出来高実績値。その時点までに進捗した作業による成果の金銭換算の実績値。
EVM,Earned Value Management,出来高管理。プロジェクトを「何時間かかるか」という時間ではなく、「人件費や労力はいくらか」というコストで進捗管理する手法。
eL,e-Learning,イーラーニング。おもにインターネットを利用した学習形態。
EOS,End Of Support,保守廃止 。
ECA,Engineering Change Announcement,設計変更通知と呼ばれる情報伝達の仕組み。
ERP,Enterprise Resource Planning,"企業資源計画。企業内のすべての業務を一元的に管理するシステム。各業務の変?を個別に?うのではなく、企業全体でプロセ スを最適化するコンセプト。”One Fact, One Place, Realtime” これを実現するモデルをパッケージ化した統合システムを、ERPパッケージと呼ぶ。ERPは統合DBと業務テンプレートにより、システム統合と業務標準化を実現する。"
EAC,Estimation at Completion,完了時コスト予測。プロジェクト完了時にかかる総コストの予測。
ETC,Estimation to Completion,残作業コスト予測。その時点からプロジェクト完了までにかかるコストの予測。
GDS,Global Distribution System,各航空会社の発券情報などを一元的に管理するシステム。
GX,Green Transformation,環境破壊や異常気象による自然災害、プラスチック問題や公害といった様々な環境問題を先進技術の力で解決することで、カーボンニュートラルなどの持続可能な社会の実現を目指す取り組み。
GP,Gross Profit,売上総利益。売上高から売上原価を差し引いて計算せれる利益。
GP,Growth Platform,成長の基盤。
HCM,Human Capital Management,人材管理/人的資源マネジメント。企業などの組織における従業員を経営上の戦略的資源の一つと捉え、人に関連する情報や活動などを統合的に管理する経営手法。また、そのための業務や組織、情報システム。
ISV,Independent Software Vendor,どこかの系列ではない、独立したパッケージソフトウェアの開発・販売会社の総称。
IPA,Information-technology Promotion Agency,独立行政法人情報処理推進機構。日本のIT国家戦略を技術面・人材面から支えるために設立された独立行政法人。情報セキュリティ、ソフトウェア高信頼化、IT人材育成等の施策を展開している。
IPO,Input Process Output,インプット、プロセス、アウトプット。
I/F連携,Interface連携,インターフェース（ユーザーとシステムの接点）同士を連携させること。
IRR,Internal Rate of Return,"内部収益率。年平均で何％儲かるか計算する方法【計算式：内部収益率 = ”NPV = 0”が成り立つ時の利回り】"
ISO,International Organization for Standardization,"国際標準化機構。ISO規格は、国際的な取引をスムーズにするために、何らかの製品やサービスに関して「世界中で同じ品質、同じレベルのものを提供できるようにしましょう」という国際的な基準。"
IoT,Internet of Things,モノのインターネット。コンピュータなどの情報・通信機器だけでなく、世の中に存在する様々な物体（モノ）に通信機能を持たせ、インターネットに接続したり相互に通信することにより、自動認識や自動制御、遠隔計測などを行うこと。
ILC,Intranet Labor Claiming,一部のビジネスユニットでは、社員および一部の契約社員が Internet Labor Claiming (ILC) を使用して、社内および社外のサービス・プロジェクトに対する作業時間と休暇や休日などの作業以外の時間を提出することを義務付けている。（現Time@IBM）
JR/S,Job role/specialty,職位/専門。
KPI,Key Performance Indicator,重要業績評価指標。目標を達成するうえで、その達成度合いを計測・監視するための定量的な指標。
LT,Lead Time,"リードタイム・所要時間。着手から完了までに要する時間や期間のこと。製品が開発され、商品として消費者の手元に届くまでのそれぞれの段階で使われることが多い。例）出荷LT：受注から納品までに要する時間。発注LT：商品の発注から納品までに要する時間。"
LOC,Line of Code,プログラムのソースコードの行（Step数）のこと。
LOVEM,Line of Visibility Engineering Methodology,通称ラブエム。業務フロー作成の主な方法論のうちの一つ。担当組織単位での業務プロセスが明確になる。
MD,Man Day,人日。1人日＝8時間。
MM,Man Month,人月。1人月＝20人日（22人日）。
MES,Manufacturing Execution System,製造実行システム。
MES,Manufacturing Execution System,生産実行システム/製造実行システム。製造工程の可視化や管理、作業者への指示や支援などを行う情報システム。
MECE,"Mutually Exclusive, Collectively Exhaustive",もれなく、ダブりなく。通称ミーシー。論理的切り分け作業を施す際、問題解決に落ち度がないよう、効率的に行う考え方。ビジネスシーンにおいては、過度なMECEを求めないよう注意が必要。
NPV,Net Present Value,正味現在価値法。投資事業が生み出す将来のCFの現在価値の時間軸で割り引いて計算する方法。計算式：将来CFの現在価値合計 - 初期投資額。
5Forces,"New Entry, Seller, Conflict, Replacement, Buyer",新規参入、売り手、競合、代替品、買い手。業界ステークホルダーのパワーバランスの変化が与える影響（特に収益性の変化）を把握し、業界での成功要因を理解するためのフレームワーク。
NoSQL,Not Only SQL,"データベース管理システム（DBMS）の分類を表す用語で、現在最も普及しているリレーショナルデータベース（RDB/RDBMS）とは異なる方式の総称。RDBでデータの問い合わせや操作に用いるSQL言語を使わずに管理することからこのように呼ばれる。"
OBS,Organization Breakdown Structure,組織分解構成図。プロジェクトのスケジュール管理に使われるツールのひとつで、プロジェクト組織を詳細に区分して階層的に表現したもの。
PV,Planned Value,出来高計画値。最初に計画を立てたときの現在の出来高。
PEST,"Political, Economic, Social, Technological",政治、経済、社会、技術。中長期的な外部環境の変化が業界に与える影響を明らかにし、それを受けた業界での成功要因を理解するためのフレームワーク。
PBS,Product Breakdown Structure,製品分解構成図。プロジェクトのスケジュール管理に使われるツールのひとつで、開発・作成しようとするものを全体（最終製品）と部分（半製品/部品）の関係を階層的に示したもの。
PDM,Product Data Management,製品データ管理。製品図面、部品の構成表、技術文書などの製品設計に関連する情報を共有し、一元管理すること。
PLM,Product Lifecycle Management,製品ライフサイクル管理。1つの製品について、企画段階から開発・設計・生産準備・調達・生産・販売・保守・生産打ち切りに至るまでの全行程の情報を、包括的に一元管理するマーケティング手法。
PPM,Product Portfolio Management,PPM分析。経営資源の出どころ、使いどころを考慮し、事業の位置づけを検討するためのフレームワーク。
4P,"Product, Price, Promotion, Place",商品、価格、広告・販促、チャネル。マーケティングミックスの観点から、新たに製品・サービスを企画したり、既存のものを競合と比較したりするためのフレームワーク。
PMS,Production Management System,生産管理システム。生産現場における納期、数量、場所、工数などの計画・管理活動を効率化するシステム。
P/L,Profit＆Loss statement,損益計算書。会社のある一定期間の収益と費用の損益計算をまとめたもの。収益・費用・利益の3つの要素から成り立つ。
